Address:,USB0::0x0957::0x179B::MY59127587::0::INSTR,,Analog Channels,,,
Model:,DSO-X 2002A,,Time (s),1 (VOLT),2 (VOLT),
,,,-0.0133854168525,0.861752053402597,-0.0558540204074234,
,,,-0.01333333352,0.859691751771607,-0.0463062841445208,
,,,-0.0132812501875,0.857219389814418,-0.0329394533764571,
,,,-0.013229166855,0.854747027857229,-0.0749494929332286,
,,,-0.0131770835225,0.851862605573842,-0.0902258709538728,
,,,-0.01312500019,0.848978183290455,-0.0883163237012923,
,,,-0.0130729168575,0.845681700680871,-0.0749494929332286,
,,,-0.013020833525,0.841973157745088,-0.0902258709538728,
,,,-0.0129687501925,0.838676675135503,-0.0520349259022623,
,,,-0.01291666686,0.834144011547323,-0.0673113039229065,
,,,-0.0128645835275,0.829611347959144,-0.065401756670326,
,,,-0.012812500195,0.824666624044767,-0.0482158313971013,
,,,-0.0127604168625,0.819721900130389,-0.029120358871296,
,,,-0.01270833353,0.814777176216012,-0.0520349259022623,
,,,-0.0126562501975,0.809008331649238,-0.0883163237012923,
,,,-0.012604166865,0.803651547408663,-0.103592701721936,
,,,-0.0125520835325,0.798294763168087,-0.0940449654590338,
,,,-0.0125000002,0.792113858275115,-0.0596731149125844,
,,,-0.0124479168675,0.786345013708342,-0.0539444731548429,
,,,-0.012395833535,0.779752048489172,-0.029120358871296,
,,,-0.0123437502025,0.7735711435962,-0.0367585478816181,
,,,-0.01229166687,0.76697817837703,0.00334194442257285,
,,,-0.0122395835375,0.759973152831662,-0.0119344335980713,
,,,-0.012187500205,0.752968127286294,-0.0195726226083934,
,,,-0.0121354168725,0.745963101740927,0.00334194442257285,
,,,-0.01208333354,0.73854601586936,-0.00620579184032977,
,,,-0.0120312502075,0.731540990323992,0.0109801334328949,
,,,-0.011979166875,0.723711844126228,0.0281660587061197,
,,,-0.0119270835425,0.715882697928464,0.058718814747408,
,,,-0.01187500021,0.7080535517307,0.0319851532112807,
,,,-0.0118229168775,0.699812345206738,0.0720856455154717,
,,,-0.011770833545,0.691983199008973,0.0663570037577301,
,,,-0.0117187502125,0.683741992485011,0.0854524762835354,
,,,-0.01166666688,0.675500785961049,0.0682665510103107,
,,,-0.0116145835475,0.666847519110888,0.106457496061921,
,,,-0.011562500215,0.658194252260728,0.117914779577404,
,,,-0.0115104168825,0.649540985410567,0.110276590567082,
,,,-0.01145833355,0.640887718560407,0.106457496061921,
,,,-0.0114062502175,0.632234451710247,0.125552968587726,
