Description	
Number of Runs	100
Preset Time	1
Pause Time	0
Alarm Level	0
High Voltage	950
Step Voltage	0
Volume	0

Run	High		Elapsed
Number	Voltage	Counts	Time	Date/Time
414	950	3	1	05/15/23 04:39:51 PM	
415	950	1	1	05/15/23 04:39:52 PM	
416	950	0	1	05/15/23 04:39:53 PM	
417	950	3	1	05/15/23 04:39:54 PM	
418	950	6	1	05/15/23 04:39:55 PM	
419	950	0	1	05/15/23 04:39:56 PM	
420	950	1	1	05/15/23 04:39:57 PM	
421	950	1	1	05/15/23 04:39:59 PM	
422	950	3	1	05/15/23 04:40:00 PM	
423	950	0	1	05/15/23 04:40:01 PM	
424	950	3	1	05/15/23 04:40:02 PM	
425	950	4	1	05/15/23 04:40:03 PM	
426	950	2	1	05/15/23 04:40:04 PM	
427	950	3	1	05/15/23 04:40:05 PM	
428	950	0	1	05/15/23 04:40:07 PM	
429	950	2	1	05/15/23 04:40:08 PM	
430	950	4	1	05/15/23 04:40:09 PM	
431	950	1	1	05/15/23 04:40:10 PM	
432	950	2	1	05/15/23 04:40:11 PM	
433	950	4	1	05/15/23 04:40:12 PM	
434	950	2	1	05/15/23 04:40:14 PM	
435	950	2	1	05/15/23 04:40:15 PM	
436	950	3	1	05/15/23 04:40:16 PM	
437	950	3	1	05/15/23 04:40:17 PM	
438	950	1	1	05/15/23 04:40:18 PM	
439	950	3	1	05/15/23 04:40:19 PM	
440	950	3	1	05/15/23 04:40:21 PM	
441	950	1	1	05/15/23 04:40:22 PM	
442	950	1	1	05/15/23 04:40:23 PM	
443	950	4	1	05/15/23 04:40:24 PM	
444	950	1	1	05/15/23 04:40:25 PM	
445	950	1	1	05/15/23 04:40:26 PM	
446	950	2	1	05/15/23 04:40:27 PM	
447	950	0	1	05/15/23 04:40:29 PM	
448	950	1	1	05/15/23 04:40:30 PM	
449	950	3	1	05/15/23 04:40:31 PM	
450	950	2	1	05/15/23 04:40:32 PM	
451	950	2	1	05/15/23 04:43:57 PM	
452	950	1	1	05/15/23 04:44:07 PM	
453	950	3	1	05/15/23 04:44:08 PM	
454	950	3	1	05/15/23 04:44:09 PM	
455	950	7	1	05/15/23 04:44:10 PM	
456	950	3	1	05/15/23 04:44:12 PM	
457	950	3	1	05/15/23 04:44:13 PM	
458	950	3	1	05/15/23 04:44:14 PM	
459	950	5	1	05/15/23 04:44:15 PM	
460	950	4	1	05/15/23 04:44:16 PM	
461	950	2	1	05/15/23 04:44:17 PM	
462	950	4	1	05/15/23 04:44:18 PM	
463	950	5	1	05/15/23 04:44:20 PM	
464	950	0	1	05/15/23 04:44:21 PM	
465	950	2	1	05/15/23 04:44:22 PM	
466	950	4	1	05/15/23 04:44:23 PM	
467	950	1	1	05/15/23 04:44:24 PM	
468	950	3	1	05/15/23 04:44:25 PM	
469	950	6	1	05/15/23 04:44:26 PM	
470	950	2	1	05/15/23 04:44:28 PM	
471	950	3	1	05/15/23 04:44:29 PM	
472	950	6	1	05/15/23 04:44:30 PM	
473	950	3	1	05/15/23 04:44:31 PM	
474	950	1	1	05/15/23 04:44:32 PM	
475	950	4	1	05/15/23 04:44:33 PM	
476	950	0	1	05/15/23 04:44:34 PM	
